from,to
LOC_Os03g51690,LOC_Os01g02990
LOC_Os03g51690,LOC_Os01g03490
LOC_Os03g51690,LOC_Os01g07930
LOC_Os03g51690,LOC_Os01g08250
LOC_Os03g51690,LOC_Os01g11920
LOC_Os03g51690,LOC_Os01g12230
LOC_Os03g51690,LOC_Os01g16840
LOC_Os03g51690,LOC_Os01g19470
LOC_Os03g51690,LOC_Os01g19490
LOC_Os03g51690,LOC_Os01g22990
LOC_Os03g51690,LOC_Os01g41870
LOC_Os03g51690,LOC_Os01g47000
LOC_Os03g51690,LOC_Os01g52050
LOC_Os03g51690,LOC_Os01g52690
LOC_Os03g51690,LOC_Os01g55000
LOC_Os03g51690,LOC_Os01g71940
LOC_Os03g51690,LOC_Os01g74130
LOC_Os03g51690,LOC_Os02g06960
LOC_Os03g51690,LOC_Os02g14720
LOC_Os03g51690,LOC_Os02g27470
LOC_Os03g51690,LOC_Os02g42460
LOC_Os03g51690,LOC_Os02g43720
LOC_Os03g51690,LOC_Os02g47220
LOC_Os03g51690,LOC_Os02g57360
LOC_Os03g51690,LOC_Os03g02280
LOC_Os03g51690,LOC_Os03g03760
LOC_Os03g51690,LOC_Os03g04350
LOC_Os03g51690,LOC_Os03g09110
LOC_Os03g51690,LOC_Os03g12330
LOC_Os03g51690,LOC_Os03g12790
LOC_Os03g51690,LOC_Os03g12940
LOC_Os03g51690,LOC_Os03g16060
LOC_Os03g51690,LOC_Os03g17200
LOC_Os03g51690,LOC_Os03g17210
LOC_Os03g51690,LOC_Os03g19709
LOC_Os03g51690,LOC_Os03g20640
LOC_Os03g51690,LOC_Os03g31870
LOC_Os03g51690,LOC_Os03g36620
LOC_Os03g51690,LOC_Os03g46920
LOC_Os03g51690,LOC_Os03g52330
LOC_Os03g51690,LOC_Os04g08010
LOC_Os03g51690,LOC_Os04g30040
LOC_Os03g51690,LOC_Os04g32020
LOC_Os03g51690,LOC_Os04g32130
LOC_Os03g51690,LOC_Os04g42399
LOC_Os03g51690,LOC_Os04g47970
LOC_Os03g51690,LOC_Os04g48070
LOC_Os03g51690,LOC_Os04g58730
LOC_Os03g51690,LOC_Os05g03440
LOC_Os03g51690,LOC_Os05g03870
LOC_Os03g51690,LOC_Os05g08890
LOC_Os03g51690,LOC_Os05g13940
LOC_Os03g51690,LOC_Os05g27860
LOC_Os03g51690,LOC_Os05g34130
LOC_Os03g51690,LOC_Os05g35210
LOC_Os03g51690,LOC_Os05g45420
LOC_Os03g51690,LOC_Os06g10240
LOC_Os03g51690,LOC_Os06g14420
LOC_Os03g51690,LOC_Os06g23660
LOC_Os03g51690,LOC_Os06g24500
LOC_Os03g51690,LOC_Os06g44140
LOC_Os03g51690,LOC_Os06g46040
LOC_Os03g51690,LOC_Os06g48730
LOC_Os03g51690,LOC_Os07g03760
LOC_Os03g51690,LOC_Os07g03770
LOC_Os03g51690,LOC_Os07g18710
LOC_Os03g51690,LOC_Os07g38350
LOC_Os03g51690,LOC_Os07g42740
LOC_Os03g51690,LOC_Os08g10090
LOC_Os03g51690,LOC_Os08g17150
LOC_Os03g51690,LOC_Os08g17980
LOC_Os03g51690,LOC_Os08g34000
LOC_Os03g51690,LOC_Os08g37420
LOC_Os03g51690,LOC_Os08g37730
LOC_Os03g51690,LOC_Os08g38460
LOC_Os03g51690,LOC_Os08g38960
LOC_Os03g51690,LOC_Os08g40100
LOC_Os03g51690,LOC_Os09g27480
LOC_Os03g51690,LOC_Os09g28860
LOC_Os03g51690,LOC_Os09g32010
LOC_Os03g51690,LOC_Os10g04280
LOC_Os03g51690,LOC_Os10g26300
LOC_Os03g51690,LOC_Os10g37800
LOC_Os03g51690,LOC_Os10g39670
LOC_Os03g51690,LOC_Os11g22970
LOC_Os03g51690,LOC_Os11g41610
LOC_Os03g51690,LOC_Os12g30020
LOC_Os03g51690,LOC_Os12g31120
LOC_Os03g51690,LOC_Os12g36640
LOC_Os03g51690,LOC_Os12g42610
