"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","genes","symbols"
"204","171923_x_at",-1.55062557308857,7.29774840186118,-15.9915943292914,1.46081869576731e-08,1.42215395756222e-06,10.2930965183568,"Cel.8339","WBGene00012608"
"2456","174175_at",-1.5662852813544,7.3594144424141,-10.531301818246,8.2741858402586e-07,3.07394835198442e-05,6.03304958014577,"Cel.20145","WBGene00016913"
"3959","175678_at",1.45873557466026,6.70338146473907,13.4778288318483,7.78959925760233e-08,5.07382568900196e-06,8.53855852495108,"Cel.18378","WBGene00000912"
"4107","175826_s_at",1.08957529107365,8.14518575308938,11.6737799256575,3.11262003504943e-07,1.43720465904068e-05,7.07275918260308,"Cel.8028","WBGene00003965"
"4231","175950_s_at",1.23268169958201,6.81950659800927,10.8953048395377,6.00239398025548e-07,2.4121521101826e-05,6.37477571092917,"Cel.8028","WBGene00003965"
"6077","177796_at",-1.03940804070972,7.8224318321102,-10.6378561585357,7.52488669123112e-07,2.87314967390447e-05,6.13414340809379,"Cel.11394","WBGene00023500"
"7547","179266_at",-3.61488095796402,7.73429558034676,-26.2969624458763,1.01912757118807e-10,4.19232023602365e-08,15.305643199617,"Cel.15396","WBGene00008862"
"8691","180410_at",1.27845478610641,6.88330400942014,8.51246628933119,5.92232546064786e-06,0.000142849268173942,3.93237880294351,"Cel.32878","WBGene00012727"
"9511","181230_at",-1.2729500201099,9.7933938375271,-13.2062416492531,9.49091413963924e-08,5.8546833044918e-06,8.33017333052507,"Cel.7864","WBGene00019327"
"10098","181817_s_at",-1.15955121403463,8.75896812920379,-11.5717895714436,3.38481978913634e-07,1.53470035529479e-05,6.98374744952504,"Cel.6921","WBGene00016325"
"10409","182128_at",-1.21282549278161,6.337633518901,-13.8746653639727,5.87384767573346e-08,4.11442116605169e-06,8.83589840536546,"Cel.26573","WBGene00009087"
"10773","182492_at",-1.19173620931953,4.3096893527565,-9.20945724440433,2.88688336123929e-06,8.13396463861008e-05,4.70007130899135,"Cel.15879","WBGene00015828"
"12109","183828_at",1.44184917480684,4.98089151914757,11.7726166747911,2.87148340511907e-07,1.37642610255972e-05,7.15834510521587,"Cel.13557","WBGene00007452"
"12692","184411_at",-2.12624794411717,8.79568642260095,-15.8826384778645,1.56258889645022e-08,1.50724443956746e-06,10.2229391039575,"Cel.11392","WBGene00015713"
"13134","184853_at",1.40210999593871,6.28599938509407,9.40584266355077,2.37635400595122e-06,7.10237904684892e-05,4.90787662614541,"Cel.11338","WBGene00015947"
"14671","186390_at",-1.40532960996221,5.3463807593158,-11.2540658666956,4.41341624243351e-07,1.90197223781063e-05,6.70182672508542,"Cel.16434","WBGene00012961"
"15879","187598_at",1.21903544044208,5.56874110229194,8.56903303806501,5.57740119257367e-06,0.000136567859287856,3.99650728554061,"Cel.4891","WBGene00007957"
"17397","189116_at",-1.64265398961503,6.90723166458193,-14.5409811473576,3.71597651502817e-08,2.8403367788011e-06,9.31703863832868,"Cel.19948","WBGene00006895"
"17585","189304_at",-1.00733952826573,6.04550209332885,-9.57782413236912,2.00938414757117e-06,6.19377606795608e-05,5.08693669894257,"Cel.3049","WBGene00019565"
"17864","189583_at",-1.39562223033745,7.65552189710242,-8.83483795458474,4.22418731291833e-06,0.000109100728258878,4.2934572327634,"Cel.25058","WBGene00003590"
"20287","192006_s_at",-1.06543965582248,8.24057568475714,-11.549443165589,3.44786526469287e-07,1.54902760611759e-05,6.9641495048973,"Cel.667","WBGene00004033"
"21205","192924_s_at",-1.1195877460518,9.37829696968405,-13.2715850948193,9.04736838354367e-08,5.68601971326877e-06,8.38068244117817,"Cel.17530","WBGene00003844"
"21297","193016_s_at",-1.82127452783276,9.5892300628661,-20.1342936399602,1.48549437317696e-09,2.94818510466041e-07,12.6456567195084,"Cel.8339","WBGene00012608"
"21609","193328_at",5.57887435802317,9.06008529985656,44.7860772563082,4.63429122164212e-13,1.16500932099614e-09,20.1009543370871,"Cel.1294","WBGene00013972"
